,0,1
0,-0.030552731326011537,0.01576609334398226
1,-0.03478097604490207,0.011682374357656351
2,-0.039704263385041356,0.006971474659718459
3,-0.045256033228250885,0.0016887680698195393
4,-0.061285429135742926,-0.011033159180578699
5,-0.06793310455042126,-0.017318559252606086
6,-0.07493616252648819,-0.024014599929441327
7,-0.08211690277747138,-0.03096426397697957
8,-0.09823868608975327,-0.04472582010381815
9,-0.10536282581558437,-0.051764077467561544
10,-0.11229467367503687,-0.05860292664828328
11,-0.11890635381421341,-0.0650561507947614
12,-0.1346183964127438,-0.07966472133934427
13,-0.14032072092477446,-0.08506099243612045
14,-0.14553796859825063,-0.08987527749080863
15,-0.15031705862499625,-0.09408485795126593
16,-0.16248628688900463,-0.1081509883262758
17,-0.16624890998061057,-0.11097998268478425
18,-0.16907365136188485,-0.11295966543503957
19,-0.1713756284550414,-0.11434883341563792
20,-0.177379827265151,-0.1271456841351657
21,-0.17861909776228305,-0.12711260397234972
22,-0.17538787039260811,-0.12499566871933726
23,-0.1751165478664734,-0.12347048975962467
24,-0.15682268835268964,-0.11019721856515774
25,-0.15432045942908051,-0.10712123363824608
26,-0.15077916300611105,-0.10332011111744555
27,-0.14623226309779147,-0.0987999746720915
28,-0.13210105775279152,-0.08085005893336349
29,-0.12566386749952724,-0.07500152285104927
30,-0.11844726123260203,-0.06856374664426951
31,-0.11063146293800301,-0.0616676819217508
32,-0.09790740004023402,-0.046453724925021096
33,-0.08956133888831956,-0.03913639764969219
34,-0.08127544585578281,-0.03185190787537464
35,-0.07322801011145756,-0.024772410681159214
36,-0.06182960178606398,-0.013151717507018355
37,-0.05483764649769653,-0.006997935386396946
38,-0.048538798424361346,-0.0014027788153284718
39,-0.042922823014979995,0.0036007045547369193
40,-0.03386203629808512,0.011138347119222805
41,-0.02978114516856506,0.014540005285116536
42,-0.02693254518212132,0.016913680324739555
43,-0.02489032464230958,0.018620983373919986
44,-0.02081376076445779,0.022082113601842666
45,-0.020048251237918355,0.022187868303840466
46,-0.020029294160444633,0.02133957836079308
47,-0.021062501473948475,0.019414326177022774
48,-0.021402205372622086,0.020219003177078677
49,-0.02445528817810102,0.01670967124120129
50,-0.028359318817873472,0.012457226352332956
51,-0.03310276219670009,0.007474373013498584
52,-0.037080438309167976,0.005808869747828373
53,-0.043534812946728216,-0.0005027474598812559
54,-0.05071637942435909,-0.007342553340147044
55,-0.05968840894891568,-0.014461914674697762
56,-0.06474353114996287,-0.016288782411146764
57,-0.07219059197711654,-0.02489177818098297
58,-0.07963938525871547,-0.03351543866153089
59,-0.0869225916202934,-0.04194947123740908
60,-0.09117761032581516,-0.04211108655674486
61,-0.09757442062555183,-0.04949414984199566
62,-0.10346898682198234,-0.05615022095110301
63,-0.10877108611751396,-0.061918016009147515
64,-0.10854926067287564,-0.058848148774371827
65,-0.11309198626087169,-0.0631551052962255
66,-0.11686950582594631,-0.06655399328401405
